Prix_vente_XOF;Cout_kit_XOF;Ventes_prudent;Ventes_median;Ventes_optimiste;CA_median_XOF;Benefice_brut_median_XOF;Benefice_net_median_XOF;CA_median_EUR;Benefice_net_median_EUR;Marge_pct
40000;28200;2000;3500;5000;140000000;41300000;39235000;213740;59901;30
50000;28200;1500;2750;4000;137500000;59930000;56933500;209924;86921;44
60000;28200;1000;2000;3000;120000000;63600000;60420000;183206;92244;53
70000;28200;800;1650;2500;115500000;68970000;65521500;176336;100032;60
80000;28200;500;1250;2000;100000000;64750000;61512500;152672;93912;65
90000;28200;400;950;1500;85500000;58710000;55774500;130534;85152;69
100000;28200;300;750;1200;75000000;53850000;51157500;114504;78103;72
